originId,label,ipBlocking,appliedBundle,status,lastSyncStatus,lastSync,version,osVersion,osVersionName,type
600349548,LAP-048-4,Disabled,4126698,Off,VA,2024-05-22 15:04:11,3.0.466,Microsoft Windows [version 10.0.22621.2861],Windows 11,roaming
600358752,LAP-063-2,Disabled,4126698,Off,VA,2024-06-04 16:18:05,3.0.466,Microsoft Windows NT 6.1.7601 Service Pack 1,Windows 7,roaming
600520392,LAP-422-001,Disabled,3901156,Off,VA,2024-03-17 11:46:24,3.0.466,Microsoft Windows [version 10.0.22621.2283],Windows 11,roaming
600525333,LAP-422-003,Disabled,3901156,Off,VA,2024-06-04 16:17:12,3.0.466,Microsoft Windows [version 10.0.19044.2486],Windows 10,roaming
600532161,LAP-422-002,Disabled,3901156,VA,VA,2024-06-05 08:53:44,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
600728016,LAP-CPTA-109,Disabled,3901056,Off,VA,2024-05-17 14:08:36,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
601084885,LAP-416-001,Disabled,3901156,VA,VA,2024-06-05 08:50:32,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
601773128,LAP-MKTG-015,Disabled,3901056,VA,VA,2024-06-05 09:21:34,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
602580761,LAP-MKTG-003,Disabled,3901056,Off,VA,2024-06-04 09:44:21,3.0.466,Microsoft Windows [version 10.0.19045.3086],Windows 10,roaming
602588236,LAP-ACH-018,Disabled,3901056,Off,VA,2024-05-31 19:54:43,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
602888441,LAP-404-002,Disabled,3901156,VA,VA,2024-06-05 08:56:06,3.0.466,Microsoft Windows [version 10.0.19044.2728],Windows 10,roaming
603068850,LAP-019-001,Disabled,4126698,Off,VA,2024-06-04 14:17:57,3.0.466,Microsoft Windows [version 10.0.19045.2913],Windows 10,roaming
603333436,LAP-024-001,Disabled,4126698,Off,VA,2024-06-04 12:33:37,5.1.1,Microsoft Windows NT 10.0.22631.0,Windows 11,anyconnect
604008964,LAP-403-001,Disabled,3901156,Off,VA,2024-02-12 10:34:12,3.0.466,Microsoft Windows [version 10.0.22621.1555],Windows 11,roaming
604253306,LAP-DIR-P2,Disabled,3901056,Off,VA,2024-06-04 15:34:39,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
604640675,LAP-430-001,Disabled,3901156,Off,VA,2024-06-04 17:57:49,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
605156277,LAP-227-001,Disabled,4126698,Off,VA,2024-05-04 00:30:13,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
605165731,DESKTOP-LPG92FQ,Disabled,4126782,Off,Encrypted,2023-05-09 22:50:55,3.0.343,Microsoft Windows [Version 10.0.22621.1702],Windows 11,roaming
605362382,LAP-346-001,Disabled,14365264,Encrypted,Encrypted,2024-06-05 09:02:19,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
605364610,LAP-427-1,Disabled,14360147,VA,VA,2024-06-05 09:04:28,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
605365344,LP-350-01,Disabled,14360147,VA,VA,2024-06-05 09:02:26,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
605604679,LAP-RSI-ODP,Disabled,4126782,Off,Encrypted,2023-05-02 13:46:18,3.0.343,Microsoft Windows [version 10.0.19044.2846],Windows 10,roaming
605680722,LAP-314-2,Disabled,13509387,Off,Encrypted,2023-10-05 14:12:32,3.0.343,Microsoft Windows [version 10.0.19045.2965],Windows 10,roaming
606491244,DESKTOP-7TR1PF8,Disabled,0,Off,Encrypted,2023-05-16 08:05:23,3.0.279,Microsoft Windows [Version 10.0.22621.1105],Windows 11,roaming
