Nom,Entité,Modèle,Numéro de série
LAP-SUPP-006,Parc LP,Latitude 7430,H52YSQ3
LAP-TRA-004,Parc LP,ThinkPad P14s Gen 2a,PF38Z6ZS
LAP-TRAV-01,Parc LP,Latitude 5320,1090VG3
LP-004-2,Parc LP > LP MAG,OptiPlex 3030 AIO,80914G2
LP-009-4,Parc LP > LP MAG,ThinkCentre M70a,PC1VZL6K
LP-016-003,Parc LP > LP MAG,OptiPlex 7010,5BX3KY1
LP-016-1,Parc LP > LP MAG,OptiPlex 3030 AIO,9XBHXJ2
LP-019-3,Parc LP > LP MAG,OptiPlex 9020,2KXYF82
LP-021-4,Parc LP > LP MAG,OptiPlex 3280 AIO,4DL9YJ3
LP-026-3,Parc LP > LP MAG,OptiPlex 3050 AIO,H6R25R2
LP-027-3,Parc LP,OptiPlex 3280 AIO,8DL9YJ3
LP-029-4,Parc LP > LP MAG,ThinkCentre M70a,PC1VZL6L
LP-032-4,Parc LP > LP MAG,OptiPlex 5270 AIO,6684C03
LP-033-4,Parc LP > LP MAG,OptiPlex 5270 AIO,31ZFJ23
LP-037-5,Parc LP > LP MAG,HP ProOne 600 G6 22 All-in-One PC,8CN12812M8
LP-041-3,Parc LP > LP MAG,OptiPlex 5270 AIO,21ZFJ23
LP-042-2,Parc LP > LP MAG,OptiPlex 3050 AIO,H6HFQK2
LP-048-4,Parc LP > LP MAG,OptiPlex 5270 AIO,5NCYN42
LP-072-4,Parc LP > LP MAG,ThinkCentre M70a,PC1VZL6J
LP-075-3,Parc LP > LP MAG,OptiPlex 5270 AIO,743RK42
LP-120-1,Parc LP > LP MAG,OptiPlex 5270 AIO,C33RK42
LP-122-3,Parc LP > LP MAG,OptiPlex 5270 AIO,J5BYN42
LP-141-3,Parc LP > LP MAG,OptiPlex 5270 AIO,64LZPZ2
LP-143-1,Parc LP > LP MAG,OptiPlex 7010,4DN2J5J
LP-145-5,Parc LP > LP MAG,OptiPlex 5270 AIO,FDZFJ23
LP-156-4 sur le 001,Parc LP > LP MAG,OptiPlex 5270 AIO,61BYN42
LP-194-3,Parc LP > LP MAG,OptiPlex 3280 AIO,9DL9YJ3
LP-195-3,Parc LP > LP MAG,OptiPlex 5270 AIO,5YCYN42
LP-196-4,Parc LP > LP MAG,OptiPlex 5270 AIO,54LZPZ2
LP-196-5,Parc LP > LP MAG,Latitude 5400,1CDR1Z2
LP-227-3,Parc LP > LP MAG,OptiPlex 3280 AIO,65DSJB3
LP-235-4,Parc LP > LP MAG,OptiPlex 5270 AIO,3B54P42
LP-235-5,Parc LP > LP MAG,OptiPlex 5270 AIO,BLBYN42
LP-303-6,Parc LP > LP MAG,OptiPlex 3280 AIO,9CMRF92
LP-303-N,Parc LP,X83i3,CNFXNL361375
LP-306-3,Parc LP > LP MAG,OptiPlex 5270 AIO,8DZFJ23
LP-307-02,Parc LP > LP MAG,OptiPlex 5270 AIO,8W9YN42
LP-307-3,Parc LP > LP MAG,OptiPlex 5270 AIO,58BYN42
LP-316-2,Parc LP > LP MAG,OptiPlex 5270 AIO,8GBYN42
LP-316-3,Parc LP > LP MAG,OptiPlex 5270 AIO,1NCYN42
LP-316-4,Parc LP > LP MAG,OptiPlex 5270 AIO,H7BYN42
LP-323-01,Parc LP > LP MAG,OptiPlex 5270 AIO,6B54P42
LP-326-1,Parc LP > LP MAG,OptiPlex 9020,7MR1H32
