"Endpoint name","Type","IP address","MAC address","Group","Pinned to Group","Agent GUID","Operating system","Endpoint isolation","Create time","Last connected","Features enabled","Status","Error code"
"TPV-524-001","Desktop","10.3.104.14,169.254.253.84,169.254.56.15,169.254.236.186,10.117.57.2","02:50:41:00:00:01,08:8F:C3:90:12:12,02:E0:4C:58:28:A8,00:E0:4C:58:28:A8,00:E0:4C:58:28:A8","All Endpoints","No","a1dc615b-f4ba-4043-a10f-b72cb99e3abc","Windows 10","Off","2024-03-14 15:53:16","2024-06-05 14:46:16","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-526-001","Desktop","10.3.104.18,169.254.58.157,169.254.183.228,169.254.167.77,10.117.61.131","02:50:41:00:00:01,00:E0:4C:56:6C:CC,02:E0:4C:56:6C:CC,00:E0:4C:56:6C:CC,08:8F:C3:90:11:82","All Endpoints","No","48a19d88-b888-450f-aeb1-45e3e4fc46f0","Windows 10","Off","2024-03-14 18:25:50","2024-06-05 14:48:51","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-528-001","Desktop","10.3.104.26,169.254.45.11,169.254.184.40,169.254.62.219,172.31.0.82","02:50:41:00:00:01,08:8F:C3:90:11:85,02:E0:4C:58:44:35,00:E0:4C:58:44:35,00:E0:4C:58:44:35","All Endpoints","No","118a245b-8498-444b-bba6-6e49d7ed4166","Windows 10","Off","2024-03-18 16:59:45","2024-06-04 19:16:20","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-529-001","Desktop","10.3.104.32,169.254.174.106,169.254.34.95,169.254.13.81,10.117.69.131","02:50:41:00:00:01,00:E0:4C:58:27:8E,02:E0:4C:58:27:8E,00:E0:4C:58:27:8E,08:8F:C3:90:10:C1","All Endpoints","No","3b18e6c3-68d2-4ec3-98ab-b3971abdf18b","Windows 10","Off","2024-03-18 17:04:46","2024-06-05 14:46:42","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-530-001","Desktop","10.3.104.43,192.168.1.10,169.254.112.158,169.254.57.149,169.254.176.249","02:50:41:00:00:01,08:8F:C3:8F:F1:61,00:E0:4C:58:48:71,02:E0:4C:58:48:71,00:E0:4C:58:48:71","All Endpoints","No","cc72af98-ff31-492d-9511-d0defc3a5892","Windows 10","Off","2024-03-18 17:43:20","2024-06-05 14:48:33","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-525-001","Desktop","10.3.104.8,10.117.59.130,169.254.135.137,169.254.102.185,169.254.35.196","02:50:41:00:00:01,08:8F:C3:90:11:93,00:E0:4C:58:34:94,02:E0:4C:58:34:94,00:E0:4C:58:34:94","All Endpoints","No","d408fc3a-60bd-4f25-a751-f3a81261a5bc","Windows 10","Off","2024-03-18 17:51:36","2024-06-05 14:44:56","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-505-001","Desktop","10.3.104.38,192.168.1.13,169.254.231.186,169.254.5.12,169.254.172.155","02:50:41:00:00:01,C0:18:50:B0:E9:53,C8:78:7D:09:83:B4,CA:78:7D:09:83:B4,C8:78:7D:09:83:B4","All Endpoints","No","521fea63-899d-4528-a644-afcc0a394df9","Windows 10","Off","2024-03-19 11:57:02","2024-06-05 14:47:47","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-506-001","Desktop","10.3.104.22,192.168.8.100,169.254.219.75,169.254.245.192,169.254.88.216","02:50:41:00:00:01,C0:18:50:B0:EF:22,C8:78:7D:09:83:9D,CA:78:7D:09:83:9D,C8:78:7D:09:83:9D","All Endpoints","No","0137ad9e-60d9-4fef-8621-081d9147152b","Windows 10","Off","2024-03-19 12:13:31","2024-06-05 14:47:55","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-438-001","Desktop","10.2.138.1","B4:A9:FC:28:CC:B6","All Endpoints","No","e2f9c393-2934-4500-89f7-401282ba1eaa","Windows 10","Off","2024-03-19 12:18:41","2024-06-05 14:44:29","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-520-001","Desktop","10.3.104.36,10.117.70.130,169.254.46.61,169.254.183.42,169.254.49.240","02:50:41:00:00:01,08:8F:C3:90:0F:17,00:E0:4C:58:27:E2,02:E0:4C:58:27:E2,00:E0:4C:58:27:E2","All Endpoints","No","7b482b8a-237e-448e-b2b7-23806dd85f9d","Windows 10","Off","2024-03-19 12:30:25","2024-06-05 14:48:11","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-522-002","Desktop (persistent virtual desktop)","10.3.104.5,169.254.166.173,169.254.112.235,169.254.95.107,10.117.80.131","02:50:41:00:00:01,00:E0:4C:58:6C:47,02:E0:4C:58:6C:47,00:E0:4C:58:6C:47,08:8F:C3:90:10:51","All Endpoints","No","4977936a-ae14-4845-ab18-671f538ccda2","Windows 10","Off","2024-03-19 12:36:56","2024-06-05 14:45:23","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-408-001","Desktop","10.2.108.1","B4:A9:FC:15:D4:E9","All Endpoints","No","dca2b777-a351-44b5-a7df-3a3de01150d6","Windows 10","Off","2024-03-19 13:29:50","2024-06-05 14:45:03","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-408-002","Desktop","10.2.108.2","B4:A9:FC:28:CE:B4","All Endpoints","No","911e5aa6-565a-402a-ae2a-1f97a186dc77","Windows 10","Off","2024-03-19 13:34:37","2024-06-05 14:48:17","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-141-002","Desktop","10.1.141.1","C0:18:50:B0:EA:2C","All Endpoints","No","0031859b-c776-4dba-a95e-60ab70e5af53","Windows 10","Off","2024-03-19 15:57:46","2024-06-05 14:49:06","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LP-141-3","Desktop","169.254.124.238,10.1.141.3,169.254.42.54,169.254.24.47,10.1.141.4,169.254.7.243","02:50:41:00:00:01,00:4E:01:A0:5B:81,08:71:90:10:4C:B8,0A:71:90:10:4C:B7,08:71:90:10:4C:B7,08:71:90:10:4C:B7","All Endpoints","No","52a8b841-7ffe-45a9-9ba9-c1367d826623","Windows 11","Off","2024-03-19 16:03:02","2024-06-05 14:46:30","XDR Endpoint Sensor,Vulnerability Assessment","",""
