Device name,Latest risk score,Operating system,IP address,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
LAP-ACH-002,30,Windows 10 10.0 (Build 19045),10.3.103.69,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-22 11:19:33,2023-11-01 07:53:42
LAP-422-001,30,Windows 11 10.0 (Build 22621),10.2.122.6,,0,Apex One as a Service,2023-02-09 14:49:48,2023-10-15 07:37:35
LP-347-2,30,Windows 10 10.0 (Build 19045),10.2.47.1,,0,Apex One as a Service,2021-09-21 11:58:40,2023-11-02 08:57:32
TPV-312-002,30,Windows 10 10.0 (Build 17763),10.3.103.24,,0,Apex One as a Service,2023-09-27 15:33:13,2023-10-05 10:12:39
LAP-421-20,30,Windows 10 10.0 (Build 19045),10.2.121.32,SERVICE LOCAL,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-11-26 15:20:21,2023-11-02 12:55:58
LAP-DR-PA-CEN,30,Windows 10 10.0 (Build 19045),10.3.103.72,sjolak,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-06-13 12:42:56,2023-11-01 10:42:14
LAP-DIR-MKTG,30,Windows 10 10.0 (Build 19045),10.3.6.30,,0,Apex One as a Service,2021-09-21 22:39:53,2023-11-02 09:00:31
LAP-009-3,30,Windows 10 10.0 (Build 19043),10.1.9.3,,0,Apex One as a Service,2023-08-22 12:26:38,2023-10-20 12:13:19
LAP-DIR-COM,30,Windows 11 10.0 (Build 22621),192.168.1.49,SERVICE RÉSEAU,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-10-26 10:21:16,2023-11-01 18:40:47
LAP-302-5,30,Windows 10 10.0 (Build 19045),10.2.114.116,,0,Apex One as a Service,2021-09-23 21:14:18,2023-10-18 14:17:09
SRV-BI-WEB,30,Windows Server 2008 R2 6.1 (Build 7601),10.4.1.225,,0,"Trend Vision One Endpoint Sensor, Trend Vision One Agent",2023-01-11 11:57:24,2023-11-02 13:29:30
LAP-GST-001,30,Windows 10 10.0 (Build 19045),10.3.103.50,,0,Apex One as a Service,2021-09-27 21:17:50,2023-11-02 08:32:59
LAP-ACH-19,30,Windows 11 10.0 (Build 22621),10.3.6.31,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2023-09-15 10:11:08,2023-10-30 13:20:49
LAP-RH-104,28,Windows 10 10.0 (Build 19045),"169.254.3.90, 169.254.243.157, 10.3.6.29, 169.254.23.59",SERVICE LOCAL,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-08-17 13:17:25,2023-11-02 13:12:27
LAP-SUP-002,27,Windows 11 10.0 (Build 22621),"169.254.90.53, 169.254.23.5, 169.254.249.72, 10.3.6.36, 169.254.228.172",SERVICE LOCAL,0,"Trend Vision One Endpoint Sensor, Trend Vision One Agent",2023-01-12 17:56:43,2023-11-02 14:00:41
